saps,fecha,servicio,turno,consulta_cantidad,rango_etario,sexo,detalle
DR. BENJAMIN SERRANO,2020-02-01,ODONTOLOGIA,TARDE,5,1 - 4 ANIOS,F,"DETENCION, CONTROL PLACA BACTERIANA Y ENS"
DR. BENJAMIN SERRANO,2020-02-01,ODONTOLOGIA,TARDE,8,1 - 4 ANIOS,M,"DETENCION, CONTROL PLACA BACTERIANA Y ENS"
DR. BENJAMIN SERRANO,2020-02-01,ODONTOLOGIA,TARDE,13,5 - 14 ANIOS,F,"DETENCION, CONTROL PLACA BACTERIANA Y ENS"
DR. BENJAMIN SERRANO,2020-02-01,ODONTOLOGIA,TARDE,9,5 - 14 ANIOS,M,"DETENCION, CONTROL PLACA BACTERIANA Y ENS"
DR. BENJAMIN SERRANO,2020-02-01,ODONTOLOGIA,TARDE,11,20-39 ANIOS,F,EXTRACCION DENTARIA
DR. BENJAMIN SERRANO,2020-02-01,ODONTOLOGIA,TARDE,6,20-39 ANIOS,M,EXTRACCION DENTARIA
DR. BENJAMIN SERRANO,2020-02-01,ODONTOLOGIA,TARDE,10,40-69 ANIOS,F,EXTRACCION DENTARIA
DR. BENJAMIN SERRANO,2020-02-01,ODONTOLOGIA,TARDE,8,40-69 ANIOS,M,EXTRACCION DENTARIA
DR. BENJAMIN SERRANO,2020-02-01,ODONTOLOGIA,TARDE,1,>=70 ANIOS,F,EXTRACCION DENTARIA
DR. ANIBAL MALVIDO,2020-02-01,ODONTOLOGIA,MANANA,1,5 - 14 ANIOS,M,EXTRACCION DENTARIA
DR. ANIBAL MALVIDO,2020-02-01,ODONTOLOGIA,MANANA,2,15 - 19 ANIOS,F,EXTRACCION DENTARIA
DR. ANIBAL MALVIDO,2020-02-01,ODONTOLOGIA,MANANA,1,15 - 19 ANIOS,M,EXTRACCION DENTARIA
DR. ANIBAL MALVIDO,2020-02-01,ODONTOLOGIA,MANANA,7,20-39 ANIOS,F,EXTRACCION DENTARIA
DR. ANIBAL MALVIDO,2020-02-01,ODONTOLOGIA,MANANA,4,20-39 ANIOS,M,EXTRACCION DENTARIA
DR. ANIBAL MALVIDO,2020-02-01,ODONTOLOGIA,MANANA,4,40-69 ANIOS,F,EXTRACCION DENTARIA
DR. ANIBAL MALVIDO,2020-02-01,ODONTOLOGIA,MANANA,3,40-69 ANIOS,M,EXTRACCION DENTARIA
DR. ANIBAL MALVIDO,2020-02-01,ODONTOLOGIA,MANANA,5,5 - 14 ANIOS,F,FOTOCURADO ANTERIORES Y PosTERIORES
DR. ANIBAL MALVIDO,2020-02-01,ODONTOLOGIA,MANANA,6,15 - 19 ANIOS,F,FOTOCURADO ANTERIORES Y PosTERIORES
DR. ANIBAL MALVIDO,2020-02-01,ODONTOLOGIA,MANANA,2,20-39 ANIOS,F,FOTOCURADO ANTERIORES Y PosTERIORES
DR. ANIBAL MALVIDO,2020-02-01,ODONTOLOGIA,MANANA,9,20-39 ANIOS,M,FOTOCURADO ANTERIORES Y PosTERIORES
DR. ANIBAL MALVIDO,2020-02-01,ODONTOLOGIA,MANANA,4,40-69 ANIOS,F,FOTOCURADO ANTERIORES Y PosTERIORES
DR. ANIBAL MALVIDO,2020-02-01,ODONTOLOGIA,MANANA,1,1 - 4 ANIOS,M,TARTREC Y CEPILLADO MECAniCO
DR. ANIBAL MALVIDO,2020-02-01,ODONTOLOGIA,MANANA,1,5 - 14 ANIOS,F,TARTREC Y CEPILLADO MECAniCO
DR. ANIBAL MALVIDO,2020-02-01,ODONTOLOGIA,MANANA,1,5 - 14 ANIOS,M,TARTREC Y CEPILLADO MECAniCO
DR. ANIBAL MALVIDO,2020-02-01,ODONTOLOGIA,MANANA,1,15 - 19 ANIOS,F,TARTREC Y CEPILLADO MECAniCO
DR. ANIBAL MALVIDO,2020-02-01,ODONTOLOGIA,MANANA,4,20-39 ANIOS,F,TARTREC Y CEPILLADO MECAniCO
DR. ANIBAL MALVIDO,2020-02-01,ODONTOLOGIA,MANANA,2,20-39 ANIOS,M,TARTREC Y CEPILLADO MECAniCO
DR. ANIBAL MALVIDO,2020-02-01,ODONTOLOGIA,MANANA,1,40-69 ANIOS,F,TARTREC Y CEPILLADO MECAniCO
DR. ANIBAL MALVIDO,2020-02-01,ODONTOLOGIA,MANANA,1,40-69 ANIOS,F,TARTREC Y CEPILLADO MECAniCO
DR. ANIBAL MALVIDO,2020-02-01,ODONTOLOGIA,MANANA,1,1 - 4 ANIOS,M,INACTIVACION DE CARIES
DR. ANIBAL MALVIDO,2020-02-01,ODONTOLOGIA,MANANA,5,5 - 14 ANIOS,F,INACTIVACION DE CARIES
DR. ANIBAL MALVIDO,2020-02-01,ODONTOLOGIA,MANANA,3,5 - 14 ANIOS,M,INACTIVACION DE CARIES
DR. ANIBAL MALVIDO,2020-02-01,ODONTOLOGIA,MANANA,4,15 - 19 ANIOS,M,INACTIVACION DE CARIES
DR. ANIBAL MALVIDO,2020-02-01,ODONTOLOGIA,MANANA,1,40-69 ANIOS,F,INACTIVACION DE CARIES
DR. ANIBAL MALVIDO,2020-02-01,ODONTOLOGIA,MANANA,1,40-69 ANIOS,M,INACTIVACION DE CARIES
DR. ANIBAL MALVIDO,2020-02-01,ODONTOLOGIA,MANANA,2,5 - 14 ANIOS,F,CONSULTAS FICHADAS Y MOTIVACION (ninios hasta 14 anios)
DR. ANIBAL MALVIDO,2020-02-01,ODONTOLOGIA,MANANA,4,5 - 14 ANIOS,M,CONSULTAS FICHADAS Y MOTIVACION (ninios hasta 14 anios)
DR. ANIBAL MALVIDO,2020-02-01,ODONTOLOGIA,MANANA,3,15 - 19 ANIOS,F,CONSULTA-ADULTO (Desde 15 anios)
DR. ANIBAL MALVIDO,2020-02-01,ODONTOLOGIA,MANANA,9,20-39 ANIOS,F,CONSULTA-ADULTO (Desde 15 anios)
DR. ANIBAL MALVIDO,2020-02-01,ODONTOLOGIA,MANANA,3,20-39 ANIOS,M,CONSULTA-ADULTO (Desde 15 anios)
DR. ANIBAL MALVIDO,2020-02-01,ODONTOLOGIA,MANANA,3,40-69 ANIOS,F,CONSULTA-ADULTO (Desde 15 anios)
DR. ANIBAL MALVIDO,2020-02-01,ODONTOLOGIA,MANANA,2,5 - 14 ANIOS,F,URGENCIA
DR. ANIBAL MALVIDO,2020-02-01,ODONTOLOGIA,MANANA,1,15 - 19 ANIOS,F,URGENCIA
DR. ANIBAL MALVIDO,2020-02-01,ODONTOLOGIA,MANANA,1,15 - 19 ANIOS,M,URGENCIA
DR. ANIBAL MALVIDO,2020-02-01,ODONTOLOGIA,MANANA,8,20-39 ANIOS,F,URGENCIA
DR. ANIBAL MALVIDO,2020-02-01,ODONTOLOGIA,MANANA,2,20-39 ANIOS,M,URGENCIA
DR. ANIBAL MALVIDO,2020-02-01,ODONTOLOGIA,MANANA,3,40-69 ANIOS,F,URGENCIA
DR. ANIBAL MALVIDO,2020-02-01,ODONTOLOGIA,MANANA,5,40-69 ANIOS,M,URGENCIA
DR. ANIBAL MALVIDO,2020-02-01,ODONTOLOGIA,MANANA,4,40-69 ANIOS,M,URGENCIA
DR. SUSSINI,2020-02-01,ODONTOLOGIA,MANANA,3,15 - 19 ANIOS,F,CONSULTA-ADULTO (Desde 15 anios)
DR. SUSSINI,2020-02-01,ODONTOLOGIA,MANANA,1,15 - 19 ANIOS,M,CONSULTA-ADULTO (Desde 15 anios)
DR. SUSSINI,2020-02-01,ODONTOLOGIA,MANANA,1,40-69 ANIOS,F,CONSULTA-ADULTO (Desde 15 anios)
DR. SUSSINI,2020-02-01,ODONTOLOGIA,MANANA,1,40-69 ANIOS,M,CONSULTA-ADULTO (Desde 15 anios)
DR. SUSSINI,2020-02-01,ODONTOLOGIA,MANANA,1,>=70 ANIOS,F,CONSULTA-ADULTO (Desde 15 anios)
DR. SUSSINI,2020-02-01,ODONTOLOGIA,MANANA,1,1 - 4 ANIOS,M,URGENCIA
DR. SUSSINI,2020-02-01,ODONTOLOGIA,MANANA,1,5 - 14 ANIOS,F,URGENCIA
DR. SUSSINI,2020-02-01,ODONTOLOGIA,MANANA,4,15 - 19 ANIOS,F,URGENCIA
DR. SUSSINI,2020-02-01,ODONTOLOGIA,MANANA,3,15 - 19 ANIOS,M,URGENCIA
DR. SUSSINI,2020-02-01,ODONTOLOGIA,MANANA,2,20-39 ANIOS,F,URGENCIA
DR. SUSSINI,2020-02-01,ODONTOLOGIA,MANANA,3,20-39 ANIOS,M,URGENCIA
DR. SUSSINI,2020-02-01,ODONTOLOGIA,MANANA,3,40-69 ANIOS,F,URGENCIA
DR. SUSSINI,2020-02-01,ODONTOLOGIA,MANANA,1,40-69 ANIOS,M,URGENCIA
DR. SUSSINI,2020-02-01,ODONTOLOGIA,MANANA,3,5 - 14 ANIOS,F,FOTOCURADO ANTERIORES Y PosTERIORES
DR. SUSSINI,2020-02-01,ODONTOLOGIA,MANANA,11,15 - 19 ANIOS,F,FOTOCURADO ANTERIORES Y PosTERIORES
DR. SUSSINI,2020-02-01,ODONTOLOGIA,MANANA,6,15 - 19 ANIOS,M,FOTOCURADO ANTERIORES Y PosTERIORES
DR. SUSSINI,2020-02-01,ODONTOLOGIA,MANANA,4,20-39 ANIOS,F,FOTOCURADO ANTERIORES Y PosTERIORES
DR. SUSSINI,2020-02-01,ODONTOLOGIA,MANANA,2,20-39 ANIOS,M,FOTOCURADO ANTERIORES Y PosTERIORES
DR. SUSSINI,2020-02-01,ODONTOLOGIA,MANANA,2,40-69 ANIOS,F,FOTOCURADO ANTERIORES Y PosTERIORES
DR. SUSSINI,2020-02-01,ODONTOLOGIA,MANANA,1,5 - 14 ANIOS,F,TARTREC Y CEPILLADO MECAniCO
DR. SUSSINI,2020-02-01,ODONTOLOGIA,MANANA,1,15 - 19 ANIOS,F,TARTREC Y CEPILLADO MECAniCO
DR. SUSSINI,2020-02-01,ODONTOLOGIA,MANANA,1,15 - 19 ANIOS,M,TARTREC Y CEPILLADO MECAniCO
DR. SUSSINI,2020-02-01,ODONTOLOGIA,MANANA,1,20-39 ANIOS,F,TARTREC Y CEPILLADO MECAniCO
DR. SUSSINI,2020-02-01,ODONTOLOGIA,MANANA,1,>=70 ANIOS,F,TARTREC Y CEPILLADO MECAniCO
DR. SUSSINI,2020-02-01,ODONTOLOGIA,MANANA,1,5 - 14 ANIOS,F,APLICACION DE FLUOR
DR. SUSSINI,2020-02-01,ODONTOLOGIA,MANANA,2,15 - 19 ANIOS,M,APLICACION DE FLUOR
DR. SUSSINI,2020-02-01,ODONTOLOGIA,MANANA,3,20-39 ANIOS,F,INACTIVACION DE CARIES
DR. SUSSINI,2020-02-01,ODONTOLOGIA,MANANA,1,20-39 ANIOS,M,INACTIVACION DE CARIES
DR. SUSSINI,2020-02-01,ODONTOLOGIA,MANANA,2,1 - 4 ANIOS,F,"DETENCION, CONTROL PLACA BACTERIANA Y ENS"
DR. SUSSINI,2020-02-01,ODONTOLOGIA,MANANA,1,5 - 14 ANIOS,M,"DETENCION, CONTROL PLACA BACTERIANA Y ENS"
DR. SUSSINI,2020-02-01,ODONTOLOGIA,MANANA,2,5 - 14 ANIOS,F,"DETENCION, CONTROL PLACA BACTERIANA Y ENS"
DR. SUSSINI,2020-02-01,ODONTOLOGIA,MANANA,4,15 - 19 ANIOS,F,"DETENCION, CONTROL PLACA BACTERIANA Y ENS"
DR. SUSSINI,2020-02-01,ODONTOLOGIA,MANANA,2,15 - 19 ANIOS,M,"DETENCION, CONTROL PLACA BACTERIANA Y ENS"
DR. SUSSINI,2020-02-01,ODONTOLOGIA,MANANA,1,20-39 ANIOS,F,"DETENCION, CONTROL PLACA BACTERIANA Y ENS"
DR. SUSSINI,2020-02-01,ODONTOLOGIA,MANANA,1,1 - 4 ANIOS,M,CONSULTAS FICHADAS Y MOTIVACION (ninios hasta 14 anios)
DR. SUSSINI,2020-02-01,ODONTOLOGIA,MANANA,2,1 - 4 ANIOS,F,CONSULTAS FICHADAS Y MOTIVACION (ninios hasta 14 anios)
DR. SUSSINI,2020-02-01,ODONTOLOGIA,MANANA,1,5 - 14 ANIOS,M,CONSULTAS FICHADAS Y MOTIVACION (ninios hasta 14 anios)
DR. SUSSINI,2020-02-01,ODONTOLOGIA,MANANA,2,5 - 14 ANIOS,F,CONSULTAS FICHADAS Y MOTIVACION (ninios hasta 14 anios)
DR. SUSSINI,2020-02-01,ODONTOLOGIA,MANANA,1,15 - 19 ANIOS,M,CONSULTA-ADULTO (Desde 15 anios)
DR. SUSSINI,2020-02-01,ODONTOLOGIA,MANANA,2,5 - 14 ANIOS,F,EXTRACCION DENTARIA
DR. SUSSINI,2020-02-01,ODONTOLOGIA,MANANA,2,5 - 14 ANIOS,M,EXTRACCION DENTARIA
DR. SUSSINI,2020-02-01,ODONTOLOGIA,MANANA,1,15 - 19 ANIOS,F,EXTRACCION DENTARIA
DR. SUSSINI,2020-02-01,ODONTOLOGIA,MANANA,2,20-39 ANIOS,F,EXTRACCION DENTARIA
DR. SUSSINI,2020-02-01,ODONTOLOGIA,MANANA,2,40-69 ANIOS,F,EXTRACCION DENTARIA
DR. SUSSINI,2020-02-01,ODONTOLOGIA,TARDE,1,20-39 ANIOS,F,URGENCIA
DR. SUSSINI,2020-02-01,ODONTOLOGIA,TARDE,1,20-39 ANIOS,M,URGENCIA
DR. SUSSINI,2020-02-01,ODONTOLOGIA,TARDE,1,1 - 4 ANIOS,F,CONSULTAS FICHADAS Y MOTIVACION (ninios hasta 14 anios)
DR. SUSSINI,2020-02-01,ODONTOLOGIA,TARDE,1,1 - 4 ANIOS,M,CONSULTAS FICHADAS Y MOTIVACION (ninios hasta 14 anios)
DR. SUSSINI,2020-02-01,ODONTOLOGIA,TARDE,2,5 - 14 ANIOS,F,CONSULTAS FICHADAS Y MOTIVACION (ninios hasta 14 anios)
DR. SUSSINI,2020-02-01,ODONTOLOGIA,TARDE,2,5 - 14 ANIOS,M,CONSULTAS FICHADAS Y MOTIVACION (ninios hasta 14 anios)
DR. SUSSINI,2020-02-01,ODONTOLOGIA,TARDE,2,20-39 ANIOS,F,CONSULTA-ADULTO (Desde 15 anios)
DR. SUSSINI,2020-02-01,ODONTOLOGIA,TARDE,1,20-39 ANIOS,M,CONSULTA-ADULTO (Desde 15 anios)
DR MANUEL A. GONZALEZ,2020-02-01,ODONTOLOGIA,MANANA,3,1 - 4 ANIOS,M,FOTOCURADO ANTERIORES Y PosTERIORES
DR MANUEL A. GONZALEZ,2020-02-01,ODONTOLOGIA,MANANA,2,5 - 14 ANIOS,F,FOTOCURADO ANTERIORES Y PosTERIORES
DR MANUEL A. GONZALEZ,2020-02-01,ODONTOLOGIA,MANANA,4,5 - 14 ANIOS,M,FOTOCURADO ANTERIORES Y PosTERIORES
DR MANUEL A. GONZALEZ,2020-02-01,ODONTOLOGIA,MANANA,4,15 - 19 ANIOS,F,FOTOCURADO ANTERIORES Y PosTERIORES
DR MANUEL A. GONZALEZ,2020-02-01,ODONTOLOGIA,MANANA,2,15 - 19 ANIOS,M,FOTOCURADO ANTERIORES Y PosTERIORES
DR MANUEL A. GONZALEZ,2020-02-01,ODONTOLOGIA,MANANA,6,20-39 ANIOS,F,FOTOCURADO ANTERIORES Y PosTERIORES
DR MANUEL A. GONZALEZ,2020-02-01,ODONTOLOGIA,MANANA,4,20-39 ANIOS,M,FOTOCURADO ANTERIORES Y PosTERIORES
DR MANUEL A. GONZALEZ,2020-02-01,ODONTOLOGIA,MANANA,3,15 - 19 ANIOS,F,EXTRACCION DENTARIA
DR MANUEL A. GONZALEZ,2020-02-01,ODONTOLOGIA,MANANA,1,15 - 19 ANIOS,M,EXTRACCION DENTARIA
DR MANUEL A. GONZALEZ,2020-02-01,ODONTOLOGIA,MANANA,7,20-39 ANIOS,F,EXTRACCION DENTARIA
DR MANUEL A. GONZALEZ,2020-02-01,ODONTOLOGIA,MANANA,6,20-39 ANIOS,M,EXTRACCION DENTARIA
DR MANUEL A. GONZALEZ,2020-02-01,ODONTOLOGIA,MANANA,2,40-69 ANIOS,F,EXTRACCION DENTARIA
DR MANUEL A. GONZALEZ,2020-02-01,ODONTOLOGIA,MANANA,5,40-69 ANIOS,M,EXTRACCION DENTARIA
DR MANUEL A. GONZALEZ,2020-02-01,ODONTOLOGIA,MANANA,3,1 - 4 ANIOS,F,INACTIVACION DE CARIES
DR MANUEL A. GONZALEZ,2020-02-01,ODONTOLOGIA,MANANA,2,1 - 4 ANIOS,M,INACTIVACION DE CARIES
DR MANUEL A. GONZALEZ,2020-02-01,ODONTOLOGIA,MANANA,6,5 - 14 ANIOS,F,INACTIVACION DE CARIES
DR MANUEL A. GONZALEZ,2020-02-01,ODONTOLOGIA,MANANA,5,5 - 14 ANIOS,M,INACTIVACION DE CARIES
DR MANUEL A. GONZALEZ,2020-02-01,ODONTOLOGIA,MANANA,2,15 - 19 ANIOS,F,INACTIVACION DE CARIES
DR MANUEL A. GONZALEZ,2020-02-01,ODONTOLOGIA,MANANA,1,15 - 19 ANIOS,M,INACTIVACION DE CARIES
DR MANUEL A. GONZALEZ,2020-02-01,ODONTOLOGIA,MANANA,6,1 - 4 ANIOS,M,CONSULTAS FICHADAS Y MOTIVACION (ninios hasta 14 anios)
DR MANUEL A. GONZALEZ,2020-02-01,ODONTOLOGIA,MANANA,6,5 - 14 ANIOS,F,CONSULTAS FICHADAS Y MOTIVACION (ninios hasta 14 anios)
DR MANUEL A. GONZALEZ,2020-02-01,ODONTOLOGIA,MANANA,7,5 - 14 ANIOS,M,CONSULTAS FICHADAS Y MOTIVACION (ninios hasta 14 anios)
DR MANUEL A. GONZALEZ,2020-02-01,ODONTOLOGIA,MANANA,2,15 - 19 ANIOS,F,CONSULTA-ADULTO (Desde 15 anios)
DR MANUEL A. GONZALEZ,2020-02-01,ODONTOLOGIA,MANANA,1,15 - 19 ANIOS,M,CONSULTA-ADULTO (Desde 15 anios)
DR MANUEL A. GONZALEZ,2020-02-01,ODONTOLOGIA,MANANA,1,1 - 4 ANIOS,M,URGENCIA
DR MANUEL A. GONZALEZ,2020-02-01,ODONTOLOGIA,MANANA,3,5 - 14 ANIOS,F,URGENCIA
DR MANUEL A. GONZALEZ,2020-02-01,ODONTOLOGIA,MANANA,2,5 - 14 ANIOS,M,URGENCIA
DR MANUEL A. GONZALEZ,2020-02-01,ODONTOLOGIA,MANANA,3,15 - 19 ANIOS,F,URGENCIA
DR MANUEL A. GONZALEZ,2020-02-01,ODONTOLOGIA,MANANA,3,20-39 ANIOS,F,CONSULTA-ADULTO (Desde 15 anios)
DR MANUEL A. GONZALEZ,2020-02-01,ODONTOLOGIA,MANANA,2,20-39 ANIOS,M,CONSULTA-ADULTO (Desde 15 anios)
DR MANUEL A. GONZALEZ,2020-02-01,ODONTOLOGIA,MANANA,1,40-69 ANIOS,F,CONSULTA-ADULTO (Desde 15 anios)
DR MANUEL A. GONZALEZ,2020-02-01,ODONTOLOGIA,MANANA,2,5 - 14 ANIOS,F,"DETENCION, CONTROL PLACA BACTERIANA Y ENS"
DR MANUEL A. GONZALEZ,2020-02-01,ODONTOLOGIA,MANANA,1,5 - 14 ANIOS,M,TARTREC Y CEPILLADO MECAniCO
DR MANUEL A. GONZALEZ,2020-02-01,ODONTOLOGIA,MANANA,1,20-39 ANIOS,F,TARTREC Y CEPILLADO MECAniCO
DR MANUEL A. GONZALEZ,2020-02-01,ODONTOLOGIA,MANANA,2,5 - 14 ANIOS,F,APLICACION DE FLUOR
DR MANUEL A. GONZALEZ,2020-02-01,ODONTOLOGIA,MANANA,2,5 - 14 ANIOS,M,APLICACION DE FLUOR
DR. JOSE DE LOS REYES VIDAL,2020-02-01,ODONTOLOGIA,MANANA,1,5 - 14 ANIOS,F,EXTRACCION DENTARIA
DR. JOSE DE LOS REYES VIDAL,2020-02-01,ODONTOLOGIA,MANANA,1,5 - 14 ANIOS,M,EXTRACCION DENTARIA
DR. JOSE DE LOS REYES VIDAL,2020-02-01,ODONTOLOGIA,MANANA,2,15 - 19 ANIOS,M,EXTRACCION DENTARIA
DR. JOSE DE LOS REYES VIDAL,2020-02-01,ODONTOLOGIA,MANANA,3,20-39 ANIOS,F,EXTRACCION DENTARIA
DR. JOSE DE LOS REYES VIDAL,2020-02-01,ODONTOLOGIA,MANANA,3,20-39 ANIOS,M,EXTRACCION DENTARIA
DR. JOSE DE LOS REYES VIDAL,2020-02-01,ODONTOLOGIA,MANANA,2,40-69 ANIOS,F,EXTRACCION DENTARIA
DR. JOSE DE LOS REYES VIDAL,2020-02-01,ODONTOLOGIA,MANANA,2,40-69 ANIOS,M,EXTRACCION DENTARIA
DR. JOSE DE LOS REYES VIDAL,2020-02-01,ODONTOLOGIA,MANANA,3,1 - 4 ANIOS,M,FOTOCURADO ANTERIORES Y PosTERIORES
DR. JOSE DE LOS REYES VIDAL,2020-02-01,ODONTOLOGIA,MANANA,5,5 - 14 ANIOS,M,FOTOCURADO ANTERIORES Y PosTERIORES
DR. JOSE DE LOS REYES VIDAL,2020-02-01,ODONTOLOGIA,MANANA,6,15 - 19 ANIOS,F,FOTOCURADO ANTERIORES Y PosTERIORES
DR. JOSE DE LOS REYES VIDAL,2020-02-01,ODONTOLOGIA,MANANA,7,15 - 19 ANIOS,M,FOTOCURADO ANTERIORES Y PosTERIORES
DR. JOSE DE LOS REYES VIDAL,2020-02-01,ODONTOLOGIA,MANANA,5,20-39 ANIOS,F,FOTOCURADO ANTERIORES Y PosTERIORES
DR. JOSE DE LOS REYES VIDAL,2020-02-01,ODONTOLOGIA,MANANA,3,20-39 ANIOS,M,FOTOCURADO ANTERIORES Y PosTERIORES
DR. JOSE DE LOS REYES VIDAL,2020-02-01,ODONTOLOGIA,MANANA,3,40-69 ANIOS,F,FOTOCURADO ANTERIORES Y PosTERIORES
DR. JOSE DE LOS REYES VIDAL,2020-02-01,ODONTOLOGIA,MANANA,3,1 - 4 ANIOS,F,CONSULTAS FICHADAS Y MOTIVACION (ninios hasta 14 anios)
DR. JOSE DE LOS REYES VIDAL,2020-02-01,ODONTOLOGIA,MANANA,2,1 - 4 ANIOS,M,CONSULTAS FICHADAS Y MOTIVACION (ninios hasta 14 anios)
DR. JOSE DE LOS REYES VIDAL,2020-02-01,ODONTOLOGIA,MANANA,2,5 - 14 ANIOS,M,CONSULTAS FICHADAS Y MOTIVACION (ninios hasta 14 anios)
DR. JOSE DE LOS REYES VIDAL,2020-02-01,ODONTOLOGIA,MANANA,5,5 - 14 ANIOS,F,CONSULTAS FICHADAS Y MOTIVACION (ninios hasta 14 anios)
DR. JOSE DE LOS REYES VIDAL,2020-02-01,ODONTOLOGIA,MANANA,2,5 - 14 ANIOS,F,URGENCIA
DR. JOSE DE LOS REYES VIDAL,2020-02-01,ODONTOLOGIA,MANANA,2,5 - 14 ANIOS,M,URGENCIA
DR. JOSE DE LOS REYES VIDAL,2020-02-01,ODONTOLOGIA,MANANA,4,15 - 19 ANIOS,F,URGENCIA
DR. JOSE DE LOS REYES VIDAL,2020-02-01,ODONTOLOGIA,MANANA,3,15 - 19 ANIOS,M,URGENCIA
DR. JOSE DE LOS REYES VIDAL,2020-02-01,ODONTOLOGIA,MANANA,1,20-39 ANIOS,F,URGENCIA
DR. JOSE DE LOS REYES VIDAL,2020-02-01,ODONTOLOGIA,MANANA,6,1 - 4 ANIOS,M,INACTIVACION DE CARIES
DR. JOSE DE LOS REYES VIDAL,2020-02-01,ODONTOLOGIA,MANANA,3,5 - 14 ANIOS,F,INACTIVACION DE CARIES
DR. JOSE DE LOS REYES VIDAL,2020-02-01,ODONTOLOGIA,MANANA,4,5 - 14 ANIOS,M,INACTIVACION DE CARIES
DR. JOSE DE LOS REYES VIDAL,2020-02-01,ODONTOLOGIA,MANANA,2,15 - 19 ANIOS,F,INACTIVACION DE CARIES
